,日付け,oil_price,stock_price,yen
0,2020年12月30日,48.4,27444.17,103.17
1,2020年12月29日,48.0,27568.15,103.56
2,2020年12月28日,47.62,26854.03,103.78
3,2020年12月24日,48.23,26668.35,103.63
4,2020年12月23日,48.12,26524.79,103.55
5,2020年12月22日,47.02,26436.39,103.63
6,2020年12月21日,47.74,26714.42,103.3
7,2020年12月18日,49.1,26763.39,103.31
8,2020年12月17日,48.36,26806.67,103.1
9,2020年12月16日,47.82,26757.40,103.48
10,2020年12月15日,47.62,26687.84,103.66
11,2020年12月14日,46.99,26732.44,104.03
12,2020年12月11日,46.57,26652.52,104.01
13,2020年12月10日,46.78,26756.24,104.2
14,2020年12月09日,45.52,26817.94,104.21
15,2020年12月08日,45.6,26467.08,104.15
16,2020年12月07日,45.76,26547.44,104.06
17,2020年12月04日,46.26,26751.24,104.14
18,2020年12月03日,45.64,26809.37,103.83
19,2020年12月02日,45.28,26800.98,104.4
20,2020年12月01日,44.55,26787.54,104.3
21,2020年11月30日,45.34,26433.62,104.27
22,2020年11月27日,45.53,26644.71,104.1
23,2020年11月26日,44.98,26537.31,104.25
24,2020年11月25日,45.71,26296.86,104.45
25,2020年11月24日,44.91,26165.59,104.43
26,2020年11月20日,42.15,25527.37,103.85
27,2020年11月19日,41.74,25634.34,103.72
28,2020年11月18日,41.82,25728.14,103.83
29,2020年11月17日,41.43,26014.62,104.17
30,2020年11月16日,41.34,25906.93,104.56
31,2020年11月13日,40.13,25385.87,104.62
32,2020年11月12日,41.12,25520.88,105.12
33,2020年11月11日,41.45,25349.60,105.42
34,2020年11月10日,41.36,24905.59,105.28
35,2020年11月09日,40.29,24839.84,105.36
36,2020年11月06日,37.14,24325.23,103.33
37,2020年11月05日,38.79,24105.28,103.47
38,2020年11月04日,39.15,23695.23,104.48
39,2020年11月02日,36.81,23295.48,104.71
40,2020年10月30日,35.79,22977.13,104.64
41,2020年10月29日,36.17,23331.94,104.61
42,2020年10月28日,37.39,23418.51,104.29
43,2020年10月27日,39.57,23485.80,104.4
44,2020年10月26日,38.56,23494.34,104.82
45,2020年10月23日,39.85,23516.59,104.69
46,2020年10月22日,40.64,23474.27,104.82
47,2020年10月21日,40.03,23639.46,104.56
48,2020年10月20日,41.46,23567.04,105.49
49,2020年10月19日,40.83,23671.13,105.42
50,2020年10月16日,40.88,23410.63,105.4
51,2020年10月15日,40.96,23507.23,105.44
52,2020年10月14日,41.04,23626.73,105.15
53,2020年10月13日,40.2,23601.78,105.47
54,2020年10月12日,39.43,23558.69,105.3
55,2020年10月09日,40.6,23619.69,105.59
56,2020年10月08日,41.19,23647.07,106.01
57,2020年10月07日,39.95,23422.82,105.96
58,2020年10月06日,40.67,23433.73,105.62
59,2020年10月05日,39.22,23312.14,105.72
60,2020年10月02日,37.05,23029.90,105.33
61,2020年10月01日,38.72,23185.12,105.5
62,2020年09月30日,40.22,23185.12,105.45
63,2020年09月29日,39.29,23539.10,105.64
64,2020年09月28日,40.6,23511.62,105.49
65,2020年09月25日,40.25,23204.62,105.6
66,2020年09月24日,40.31,23087.82,105.4
67,2020年09月23日,39.93,23346.49,105.37
68,2020年09月18日,41.11,23360.30,104.55
69,2020年09月17日,40.97,23319.37,104.73
70,2020年09月16日,40.16,23475.53,104.94
71,2020年09月15日,38.28,23454.89,105.43
72,2020年09月14日,37.26,23559.30,105.72
73,2020年09月11日,37.33,23406.49,106.14
74,2020年09月10日,37.3,23235.47,106.13
75,2020年09月09日,38.05,23032.54,106.17
76,2020年09月08日,36.76,23274.13,106.01
77,2020年09月07日,39.2,23089.95,106.25
78,2020年09月04日,39.77,23205.43,106.23
79,2020年09月03日,41.37,23465.53,106.17
80,2020年09月02日,41.51,23247.15,106.18
81,2020年09月01日,42.76,23138.07,105.95
82,2020年08月31日,42.61,23139.76,105.89
83,2020年08月28日,42.97,22882.65,105.34
84,2020年08月27日,43.04,23208.86,106.55
