"日付け","stock_終値","stock_始値","stock_高値","stock_安値","stock_出来高","stock_前日比%"
"2020年12月30日","27,444.17","27,559.10","27,572.57","27,338.56","505.87M","-0.45%"
"2020年12月29日","27,568.15","26,936.38","27,602.52","26,921.14","594.33M","2.66%"
"2020年12月28日","26,854.03","26,691.29","26,854.03","26,664.60","506.67M","0.74%"
"2020年12月25日","26,656.61","26,708.10","26,716.61","26,638.28","333.99M","-0.04%"
"2020年12月24日","26,668.35","26,635.11","26,764.53","26,605.26","479.33M","0.54%"
"2020年12月23日","26,524.79","26,580.43","26,585.21","26,414.74","560.12M","0.33%"
"2020年12月22日","26,436.39","26,559.33","26,639.99","26,361.66","586.45M","-1.04%"
"2020年12月21日","26,714.42","26,834.10","26,905.67","26,533.63","607.19M","-0.18%"
"2020年12月18日","26,763.39","26,775.53","26,824.29","26,707.30","737.84M","-0.16%"
"2020年12月17日","26,806.67","26,744.50","26,843.05","26,676.28","614.94M","0.18%"
"2020年12月16日","26,757.40","26,835.59","26,874.98","26,717.03","613.31M","0.26%"
"2020年12月15日","26,687.84","26,683.11","26,736.84","26,605.54","593.32M","-0.17%"
"2020年12月14日","26,732.44","26,659.53","26,870.47","26,648.69","599.61M","0.30%"
"2020年12月11日","26,652.52","26,732.85","26,819.41","26,553.01","748.74M","-0.39%"
"2020年12月10日","26,756.24","26,688.50","26,852.77","26,639.98","692.46M","-0.23%"
"2020年12月09日","26,817.94","26,526.34","26,826.78","26,520.60","618.49M","1.33%"
"2020年12月08日","26,467.08","26,380.32","26,523.30","26,327.08","550.56M","-0.30%"
"2020年12月07日","26,547.44","26,894.25","26,894.25","26,500.32","615.83M","-0.76%"
"2020年12月04日","26,751.24","26,697.26","26,799.83","26,646.08","616.22M","-0.22%"
"2020年12月03日","26,809.37","26,740.30","26,868.09","26,719.23","694.76M","0.03%"
"2020年12月02日","26,800.98","26,884.99","26,889.90","26,695.28","801.85M","0.05%"
"2020年12月01日","26,787.54","26,624.20","26,852.16","26,618.39","732.39M","1.34%"
"2020年11月30日","26,433.62","26,830.10","26,834.20","26,405.83","1.48B","-0.79%"
"2020年11月27日","26,644.71","26,530.28","26,672.40","26,419.05","862.27M","0.40%"
"2020年11月26日","26,537.31","26,255.47","26,560.03","26,255.47","635.48M","0.91%"
"2020年11月25日","26,296.86","26,468.52","26,706.42","26,258.35","925.23M","0.50%"
"2020年11月24日","26,165.59","25,901.45","26,261.78","25,901.45","817.07M","2.50%"
"2020年11月20日","25,527.37","25,486.83","25,555.37","25,425.59","634.29M","-0.42%"
"2020年11月19日","25,634.34","25,628.73","25,650.86","25,474.94","820.38M","-0.36%"
"2020年11月18日","25,728.14","25,860.55","25,882.14","25,656.70","692.44M","-1.10%"
"2020年11月17日","26,014.62","26,043.45","26,057.30","25,851.54","848.29M","0.42%"
"2020年11月16日","25,906.93","25,652.69","25,928.18","25,640.29","849.36M","2.05%"
"2020年11月13日","25,385.87","25,405.64","25,456.18","25,215.31","775.85M","-0.53%"
"2020年11月12日","25,520.88","25,439.35","25,587.96","25,316.60","805.33M","0.68%"
